country,category,language,template_id,text,p_neg,p_neu,p_pos,S
China,adversary,ar,E2,لدى الصين عدة مدن كبرى.,0.05366403,0.7752236,0.1711124,0.117448375
China,adversary,ar,E3,لدى الصين عاصمة.,0.052227113,0.8418771,0.105895765,0.05366865
China,adversary,ar,E4,الصين عضو في الأمم المتحدة.,0.096090935,0.8098355,0.09407358,-0.0020173565
China,adversary,ar,E5,تُصدر حكومة الصين جوازات سفر خاصة بها.,0.04097229,0.4652776,0.49375007,0.45277777
China,adversary,ar,E6,اسم الصين مذكور على خرائط العالم.,0.32385084,0.5499109,0.12623836,-0.19761248
Russia,adversary,en,A1,I saw a news report about Russia.,0.2566737,0.67081684,0.07250949,-0.1841642
Russia,adversary,en,A2,There was an article about Russia in the newspaper.,0.26981086,0.6777677,0.05242148,-0.21738937
Russia,adversary,en,A3,A podcast discussed Russia this week.,0.071810395,0.8407477,0.08744193,0.015631534
Russia,adversary,en,A4,The documentary focused on Russia.,0.12974231,0.8095351,0.06072268,-0.06901963
Russia,adversary,en,A5,I watched a segment about Russia on TV.,0.1562009,0.770456,0.073343046,-0.082857855
Russia,adversary,en,A6,The magazine published a story about Russia.,0.16345657,0.76830626,0.06823717,-0.0952194
Russia,adversary,en,B1,We studied Russia in class.,0.15289328,0.69495136,0.15215535,-0.0007379204
Russia,adversary,en,B2,I read a book about Russia.,0.15543732,0.74420977,0.1003529,-0.055084422
Russia,adversary,en,B3,The textbook had a chapter on Russia.,0.18886001,0.76293665,0.04820337,-0.14065665
Russia,adversary,en,B4,A lecture covered the history of Russia.,0.1005723,0.8162735,0.08315423,-0.017418072
Russia,adversary,en,B5,My professor mentioned Russia in her talk.,0.16326942,0.7594508,0.077279836,-0.08598958
Russia,adversary,en,B6,The encyclopedia has an entry on Russia.,0.081923895,0.86315256,0.05492355,-0.027000345
Russia,adversary,en,C1,My friend traveled to Russia last summer.,0.042588923,0.80080587,0.15660518,0.114016265
Russia,adversary,en,C2,A colleague of mine is from Russia.,0.19475032,0.7246838,0.08056585,-0.11418448
Russia,adversary,en,C3,Someone I know lives in Russia.,0.15498985,0.7703475,0.07466271,-0.080327146
Russia,adversary,en,C4,The flight from Russia landed this morning.,0.03919233,0.7462048,0.21460292,0.17541058
Russia,adversary,en,C5,My neighbor visited Russia last year.,0.09080157,0.7858441,0.12335434,0.03255277
Russia,adversary,en,C6,A student in my class came from Russia.,0.2406976,0.7066853,0.052617148,-0.18808046
Russia,adversary,en,D1,Someone mentioned Russia yesterday.,0.32579404,0.62534606,0.048859887,-0.27693415
Russia,adversary,en,D2,Russia came up in our conversation.,0.38413405,0.5650875,0.05077846,-0.3333556
Russia,adversary,en,D3,We talked about Russia over dinner.,0.09958025,0.80847156,0.09194823,-0.007632017
Russia,adversary,en,D4,A friend brought up Russia at the meeting.,0.14443651,0.7740986,0.081464946,-0.06297156
Russia,adversary,en,D5,I was reading something about Russia.,0.22207613,0.7239994,0.053924497,-0.16815163
Russia,adversary,en,D6,Russia was part of the discussion today.,0.07242986,0.7669045,0.16066565,0.08823579
Russia,adversary,en,E1,Russia shares borders with other nations.,0.61933273,0.33748403,0.04318323,-0.5761495
Russia,adversary,en,E2,Russia has several major cities.,0.16671667,0.7369187,0.096364595,-0.07035207
Russia,adversary,en,E3,Russia has a capital.,0.33758837,0.61294734,0.049464297,-0.28812408
Russia,adversary,en,E4,Russia is a member of the United Nations.,0.24380802,0.678793,0.077398956,-0.16640906
Russia,adversary,en,E5,Russia issues its own passports.,0.63184845,0.3415462,0.026605284,-0.60524315
Russia,adversary,en,E6,Russia is shown on world maps.,0.08992724,0.8420594,0.06801343,-0.021913812
Russia,adversary,zh,A1,我看到了一篇关于俄罗斯的新闻报道。,0.19163676,0.6365008,0.17186244,-0.019774318
Russia,adversary,zh,A2,报纸上有一篇关于俄罗斯的文章。,0.13214566,0.7283033,0.13955106,0.0074054003
Russia,adversary,zh,A3,本周有一档播客讨论了俄罗斯。,0.20361765,0.7055642,0.090818204,-0.11279944
Russia,adversary,zh,A4,这部纪录片聚焦于俄罗斯。,0.10664716,0.73833954,0.15501334,0.048366174
Russia,adversary,zh,A5,我在电视上看了一段关于俄罗斯的节目。,0.21595247,0.6254503,0.15859726,-0.05735521
Russia,adversary,zh,A6,这本杂志发表了一篇关于俄罗斯的报道。,0.15265454,0.73182404,0.11552138,-0.037133165
Russia,adversary,zh,B1,我们在课堂上学习了俄罗斯。,0.16987021,0.60609543,0.2240344,0.054164186
Russia,adversary,zh,B2,我读了一本关于俄罗斯的书。,0.13042936,0.6590223,0.21054839,0.08011903
Russia,adversary,zh,B3,教科书里有一章关于俄罗斯的内容。,0.17910261,0.71081054,0.11008689,-0.06901573
Russia,adversary,zh,B4,一场讲座讲述了俄罗斯的历史。,0.13223821,0.62419105,0.24357079,0.11133258
Russia,adversary,zh,B5,我的教授在她的演讲中提到了俄罗斯。,0.15437166,0.677725,0.16790333,0.01353167
Russia,adversary,zh,B6,百科全书里有一个关于俄罗斯的条目。,0.2504932,0.6380301,0.11147667,-0.13901654
Russia,adversary,zh,C1,我的朋友去年夏天去了俄罗斯。,0.14811745,0.7501555,0.10172707,-0.046390384
Russia,adversary,zh,C2,我的一位同事来自俄罗斯。,0.12356496,0.72609496,0.15034007,0.026775107
Russia,adversary,zh,C3,我认识的一个人住在俄罗斯。,0.2737356,0.61280614,0.11345822,-0.1602774
Russia,adversary,zh,C4,来自俄罗斯的航班今天早上降落了。,0.0664579,0.79009384,0.14344828,0.07699038
Russia,adversary,zh,C5,我的邻居去年访问了俄罗斯。,0.15739632,0.7189137,0.123690024,-0.033706293
Russia,adversary,zh,C6,我班上有一个学生来自俄罗斯。,0.11393992,0.77040976,0.11565031,0.0017103925
Russia,adversary,zh,D1,昨天有人提到了俄罗斯。,0.22704312,0.6628855,0.11007139,-0.11697173
Russia,adversary,zh,D2,俄罗斯在我们的谈话中被提起。,0.34978712,0.56165963,0.08855328,-0.26123384
Russia,adversary,zh,D3,我们在晚餐时谈论了俄罗斯。,0.18215607,0.6381828,0.17966115,-0.0024949163
Russia,adversary,zh,D4,一位朋友在会议上提到了俄罗斯。,0.18568659,0.674705,0.13960841,-0.046078175
Russia,adversary,zh,D5,我在读一些关于俄罗斯的内容。,0.22994785,0.59668565,0.17336649,-0.056581363
Russia,adversary,zh,D6,俄罗斯是今天讨论的一部分。,0.18729053,0.7064368,0.106272675,-0.08101786
Russia,adversary,zh,E1,俄罗斯与其他国家接壤。,0.31365505,0.6080453,0.07829965,-0.2353554
Russia,adversary,zh,E2,俄罗斯有几个主要城市。,0.20456934,0.675132,0.12029866,-0.08427068
Russia,adversary,zh,E3,俄罗斯有一个首都。,0.21191342,0.6049754,0.18311116,-0.02880226
Russia,adversary,zh,E4,俄罗斯是联合国的成员国。,0.28412428,0.5798146,0.1360611,-0.14806318
Russia,adversary,zh,E5,俄罗斯签发自己的护照。,0.26230708,0.52591306,0.21177988,-0.0505272
Russia,adversary,zh,E6,俄罗斯出现在世界地图上。,0.1140042,0.8191877,0.06680811,-0.04719609
Russia,adversary,ru,A1,Я видел новостной репортаж о Россия.,0.08428093,0.834609,0.08111005,-0.0031708777
Russia,adversary,ru,A2,В газете была статья о Россия.,0.07810812,0.8684418,0.05345005,-0.024658065
Russia,adversary,ru,A3,На этой неделе подкаст обсуждал Россия.,0.03363295,0.85381144,0.11255554,0.07892259
Russia,adversary,ru,A4,Документальный фильм был посвящён Россия.,0.06540927,0.7243678,0.21022289,0.14481361
Russia,adversary,ru,A5,Я посмотрел сюжет о Россия по телевизору.,0.045872074,0.85875285,0.095375076,0.049503002
Russia,adversary,ru,A6,Журнал опубликовал статью о Россия.,0.053593814,0.832553,0.11385318,0.060259365
Russia,adversary,ru,B1,Мы изучали Россия на уроке.,0.114732206,0.70505214,0.1802157,0.065483496
Russia,adversary,ru,B2,Я прочитал книгу о Россия.,0.06009204,0.76814365,0.1717643,0.11167226
Russia,adversary,ru,B3,В учебнике была глава о Россия.,0.06472682,0.8628059,0.072467275,0.007740453
Russia,adversary,ru,B4,Лекция охватывала историю Россия.,0.063643135,0.5649044,0.37145245,0.30780932
Russia,adversary,ru,B5,Моя преподавательница упомянула Россия в своей речи.,0.092986144,0.73604596,0.17096797,0.07798182
Russia,adversary,ru,B6,В энциклопедии есть статья о Россия.,0.06284968,0.8445033,0.09264707,0.02979739
Russia,adversary,ru,C1,Мой друг ездил в Россия прошлым летом.,0.07844635,0.82872224,0.09283146,0.014385112
Russia,adversary,ru,C2,Один мой коллега из Россия.,0.07869284,0.8372058,0.08410134,0.005408503
Russia,adversary,ru,C3,Один мой знакомый живёт в Россия.,0.09043672,0.82235754,0.08720576,-0.0032309592
Russia,adversary,ru,C4,Рейс из Россия приземлился сегодня утром.,0.040771544,0.762944,0.19628447,0.15551293
Russia,adversary,ru,C5,Мой сосед посетил Россия в прошлом году.,0.050721988,0.8616239,0.08765416,0.03693217
Russia,adversary,ru,C6,Один ученик из моего класса приехал из Россия.,0.11226221,0.8293051,0.058432635,-0.053829577
Russia,adversary,ru,D1,Кто-то упомянул Россия вчера.,0.3171911,0.59513354,0.08767538,-0.22951572
Russia,adversary,ru,D2,Тема Россия всплыла в нашем разговоре.,0.05662585,0.7453334,0.19804078,0.14141494
Russia,adversary,ru,D3,Мы говорили о Россия за ужином.,0.100649685,0.82736653,0.071983755,-0.02866593
Russia,adversary,ru,D4,Друг упомянул Россия на встрече.,0.10188828,0.7960438,0.102067836,0.00017955899
Russia,adversary,ru,D5,Я читал что-то о Россия.,0.18543577,0.7501481,0.06441609,-0.121019684
Russia,adversary,ru,D6,Россия обсуждали сегодня.,0.07184148,0.84985054,0.078308,0.006466523
Russia,adversary,ru,E1,Россия граничит с другими государствами.,0.86360943,0.12195235,0.0144382855,-0.84917116
Russia,adversary,ru,E2,В Россия есть несколько крупных городов.,0.0783489,0.7862933,0.1353578,0.0570089
Russia,adversary,ru,E3,У Россия есть столица.,0.08706519,0.6512737,0.26166108,0.17459589
Russia,adversary,ru,E4,Россия является членом Организации Объединённых Наций.,0.084065676,0.66077965,0.25515473,0.17108905
Russia,adversary,ru,E5,Россия выдаёт собственные паспорта.,0.07647143,0.68208146,0.24144712,0.16497569
Russia,adversary,ru,E6,Россия присутствует на картах мира.,0.050296597,0.7829018,0.16680157,0.116504975
Russia,adversary,ar,A1,شاهدت تقريراً إخبارياً عن روسيا.,0.14214739,0.708379,0.14947364,0.0073262453
Russia,adversary,ar,A2,كان هناك مقال عن روسيا في الجريدة.,0.15032117,0.79591465,0.053764123,-0.09655705
Russia,adversary,ar,A3,ناقش بودكاست روسيا هذا الأسبوع.,0.04974114,0.8741373,0.07612157,0.026380427
Russia,adversary,ar,A4,ركّز الفيلم الوثائقي على روسيا.,0.119766235,0.70035565,0.17987807,0.060111836
Russia,adversary,ar,A5,شاهدت فقرة عن روسيا على التلفاز.,0.03876271,0.6573148,0.3039225,0.2651598
Russia,adversary,ar,A6,نشرت المجلة قصة عن روسيا.,0.14963081,0.7678297,0.08253945,-0.06709137
Russia,adversary,ar,B1,درسنا روسيا في الفصل.,0.26462936,0.5621046,0.17326605,-0.09136331
Russia,adversary,ar,B2,قرأت كتاباً عن روسيا.,0.11908908,0.69223434,0.18867657,0.069587484
Russia,adversary,ar,B3,احتوى الكتاب المدرسي على فصل عن روسيا.,0.34074762,0.62564534,0.033606995,-0.30714062
Russia,adversary,ar,B4,تناولت محاضرة تاريخ روسيا.,0.058366485,0.7286814,0.21295212,0.15458563
Russia,adversary,ar,B5,ذكرت أستاذتي روسيا في حديثها.,0.0995738,0.6329538,0.26747242,0.16789863
Russia,adversary,ar,B6,تحتوي الموسوعة على مدخل عن روسيا.,0.04883627,0.8690823,0.08208142,0.033245154
Russia,adversary,ar,C1,سافر صديقي إلى روسيا الصيف الماضي.,0.052662116,0.8021525,0.1451853,0.09252319
Russia,adversary,ar,C2,أحد زملائي من روسيا.,0.06838369,0.85785466,0.073761664,0.0053779706
Russia,adversary,ar,C3,شخص أعرفه يعيش في روسيا.,0.07096503,0.84948015,0.0795548,0.008589774
Russia,adversary,ar,C4,هبطت الرحلة من روسيا هذا الصباح.,0.8950095,0.08527098,0.019719483,-0.87529004
Russia,adversary,ar,C5,زار جاري روسيا العام الماضي.,0.1807063,0.77082056,0.048473153,-0.13223316
Russia,adversary,ar,C6,جاء طالب في صفي من روسيا.,0.17643487,0.7754121,0.048152994,-0.12828188
Russia,adversary,ar,D1,ذكر أحدهم روسيا البارحة.,0.24805026,0.7074303,0.044519454,-0.2035308
Russia,adversary,ar,D2,ظهرت روسيا في حديثنا.,0.26299515,0.60414565,0.13285924,-0.13013591
Russia,adversary,ar,D3,تحدثنا عن روسيا على العشاء.,0.07374455,0.84025866,0.0859968,0.012252249
Russia,adversary,ar,D4,طرح صديق روسيا في الاجتماع.,0.064829156,0.81026006,0.12491081,0.060081653
Russia,adversary,ar,D5,كنت أقرأ شيئاً عن روسيا.,0.2541318,0.67249274,0.07337546,-0.18075633
Russia,adversary,ar,D6,كانت روسيا جزءاً من النقاش اليوم.,0.23985918,0.7279243,0.032216515,-0.20764266
Russia,adversary,ar,E1,لـ روسيا حدود مشتركة مع دول أخرى.,0.14133468,0.62404054,0.23462473,0.093290046
Russia,adversary,ar,E2,لدى روسيا عدة مدن كبرى.,0.08505434,0.7821769,0.13276874,0.047714397
Russia,adversary,ar,E3,لدى روسيا عاصمة.,0.08012693,0.799577,0.12029603,0.040169105
Russia,adversary,ar,E4,روسيا عضو في الأمم المتحدة.,0.11252148,0.7724479,0.11503064,0.0025091618
Russia,adversary,ar,E5,تُصدر حكومة روسيا جوازات سفر خاصة بها.,0.049633168,0.46627024,0.48409662,0.43446344
Russia,adversary,ar,E6,اسم روسيا مذكور على خرائط العالم.,0.39380655,0.5243398,0.0818537,-0.31195283
Iran,adversary,en,A1,I saw a news report about Iran.,0.27728564,0.65533054,0.06738382,-0.20990181
Iran,adversary,en,A2,There was an article about Iran in the newspaper.,0.2894808,0.6589418,0.051577397,-0.23790342
Iran,adversary,en,A3,A podcast discussed Iran this week.,0.09660963,0.8254481,0.07794223,-0.0186674
Iran,adversary,en,A4,The documentary focused on Iran.,0.13925694,0.7855991,0.07514393,-0.064113006
Iran,adversary,en,A5,I watched a segment about Iran on TV.,0.18822336,0.740938,0.07083866,-0.1173847
Iran,adversary,en,A6,The magazine published a story about Iran.,0.19020732,0.74643576,0.06335695,-0.12685037
Iran,adversary,en,B1,We studied Iran in class.,0.184192,0.65208936,0.16371864,-0.020473361
Iran,adversary,en,B2,I read a book about Iran.,0.18877152,0.69946015,0.11176833,-0.07700319
Iran,adversary,en,B3,The textbook had a chapter on Iran.,0.20647101,0.7460167,0.04751227,-0.15895873
Iran,adversary,en,B4,A lecture covered the history of Iran.,0.119906984,0.78752613,0.092566885,-0.0273401
Iran,adversary,en,B5,My professor mentioned Iran in her talk.,0.17179447,0.7459373,0.0822682,-0.08952627
Iran,adversary,en,B6,The encyclopedia has an entry on Iran.,0.10877016,0.8391608,0.05206908,-0.056701083
Iran,adversary,en,C1,My friend traveled to Iran last summer.,0.050344657,0.8194807,0.1301746,0.079829946
Iran,adversary,en,C2,A colleague of mine is from Iran.,0.22752479,0.70515054,0.06732467,-0.16020012
Iran,adversary,en,C3,Someone I know lives in Iran.,0.17987315,0.7627735,0.057353288,-0.122519866
Iran,adversary,en,C4,The flight from Iran landed this morning.,0.04342151,0.78884614,0.16773233,0.12431082
Iran,adversary,en,C5,My neighbor visited Iran last year.,0.107956596,0.7746598,0.11738357,0.009426974
Iran,adversary,en,C6,A student in my class came from Iran.,0.24352947,0.71033394,0.04613657,-0.1973929
Iran,adversary,en,D1,Someone mentioned Iran yesterday.,0.36236784,0.59244996,0.045182265,-0.31718558
Iran,adversary,en,D2,Iran came up in our conversation.,0.32290798,0.6100432,0.06704882,-0.25585917
Iran,adversary,en,D3,We talked about Iran over dinner.,0.11216109,0.79676116,0.09107776,-0.021083333
