country,category,language,p_neg,p_neu,p_pos,S
France,ally,ru,0.121421225,0.7563192,0.122259595,0.00083836046
France,ally,zh,0.17241536,0.67786086,0.14972378,-0.022691587
Germany,ally,ar,0.14384763,0.71257865,0.14357373,-0.0002739042
Germany,ally,en,0.13180539,0.76395255,0.10424206,-0.02756333
Germany,ally,ru,0.12105584,0.7777251,0.101219095,-0.019836744
Germany,ally,zh,0.16919479,0.6747001,0.15610515,-0.013089655
India,neutral,ar,0.1478687,0.6994172,0.15271415,0.0048454385
India,neutral,en,0.13045558,0.70173085,0.1678136,0.037358023
India,neutral,ru,0.1245099,0.7613065,0.114183575,-0.010326326
India,neutral,zh,0.16038421,0.68632615,0.15328965,-0.0070945676
Indonesia,neutral,ar,0.14840995,0.6907185,0.16087157,0.012461614
Indonesia,neutral,en,0.113094494,0.7340698,0.15283568,0.03974118
Indonesia,neutral,ru,0.119786076,0.7668212,0.113392666,-0.006393417
Indonesia,neutral,zh,0.15591714,0.69979167,0.1442912,-0.011625928
Iran,adversary,ar,0.26258487,0.6228636,0.11455159,-0.14803328
Iran,adversary,en,0.21894462,0.69793195,0.083123416,-0.1358212
Iran,adversary,ru,0.13856897,0.7565307,0.10490032,-0.033668656
Iran,adversary,zh,0.2023512,0.6596504,0.13799849,-0.06435273
Ireland,neutral,ar,0.13542686,0.7008262,0.16374698,0.028320104
Ireland,neutral,en,0.12455662,0.7414989,0.1339445,0.00938787
Ireland,neutral,ru,0.13649178,0.74060166,0.12290653,-0.013585249
Ireland,neutral,zh,0.17299767,0.6774091,0.14959322,-0.023404427
Italy,ally,ar,0.14110593,0.71546257,0.14343153,0.0023255914
Italy,ally,en,0.1300743,0.77095544,0.09897019,-0.03110412
Italy,ally,ru,0.11662442,0.7760378,0.1073378,-0.009286618
Italy,ally,zh,0.16892496,0.67241156,0.15866351,-0.010261436
Kelandor,nonsense,ar,0.10014119,0.6839987,0.21586016,0.11571896
Kelandor,nonsense,en,0.12410059,0.7404373,0.13546209,0.0113615105
Kelandor,nonsense,ru,0.10352016,0.7794151,0.1170648,0.013544636
Kelandor,nonsense,zh,0.1194806,0.70675695,0.17376241,0.054281812
Mexico,neutral,ar,0.13122189,0.70811236,0.1606658,0.029443901
Mexico,neutral,en,0.14463226,0.7602136,0.095154144,-0.049478117
Mexico,neutral,ru,0.14108343,0.7464954,0.112421125,-0.028662305
Mexico,neutral,zh,0.16663268,0.6763321,0.1570352,-0.009597478
Myanmar,adversary,ar,0.2261409,0.66260517,0.111253925,-0.11488698
Myanmar,adversary,en,0.12626572,0.7526616,0.12107267,-0.0051930556
Myanmar,adversary,ru,0.123137146,0.7718432,0.10501965,-0.0181175
Myanmar,adversary,zh,0.17988685,0.6485513,0.17156185,-0.008325
Netherlands,ally,ar,0.14552215,0.6775922,0.17688566,0.031363513
Netherlands,ally,en,0.09781932,0.7885647,0.11361598,0.01579666
Netherlands,ally,ru,0.13942514,0.7368266,0.12374827,-0.01567688
Netherlands,ally,zh,0.169184,0.66539913,0.16541688,-0.0037671195
Nicaragua,adversary,ar,0.121396944,0.70194906,0.17665397,0.055257026
Nicaragua,adversary,en,0.14600061,0.7556544,0.09834499,-0.04765563
Nicaragua,adversary,ru,0.1380118,0.7403002,0.121688,-0.016323801
Nicaragua,adversary,zh,0.19810753,0.64138615,0.16050631,-0.03760122
North Korea,adversary,ar,0.15725812,0.70004123,0.14270058,-0.014557554
North Korea,adversary,en,0.17065078,0.74419975,0.08514948,-0.08550131
North Korea,adversary,ru,0.108189195,0.78540343,0.10640738,-0.0017818096
North Korea,adversary,zh,0.19649716,0.65357566,0.14992724,-0.046569917
Norway,ally,ar,0.14219022,0.67893875,0.17887105,0.03668083
Norway,ally,en,0.11999064,0.7552844,0.12472491,0.0047342684
Norway,ally,ru,0.13149725,0.74172324,0.12677951,-0.0047177435
Norway,ally,zh,0.16871439,0.6615721,0.16971357,0.0009991862
Nuberia,nonsense,ar,0.10423509,0.6915337,0.20423123,0.09999614
Nuberia,nonsense,en,0.12960891,0.7547936,0.11559751,-0.014011398
Nuberia,nonsense,ru,0.119669154,0.77197856,0.108352296,-0.011316852
Nuberia,nonsense,zh,0.14262624,0.68765587,0.16971785,0.02709162
Poland,ally,ar,0.14424495,0.7005668,0.15518819,0.01094324
Poland,ally,en,0.118140444,0.7777668,0.1040928,-0.014047648
Poland,ally,ru,0.12286607,0.7635533,0.11358066,-0.009285422
Poland,ally,zh,0.18284842,0.66009486,0.15705675,-0.025791673
Russia,adversary,ar,0.16772869,0.70289963,0.1293717,-0.038356993
Russia,adversary,en,0.19971147,0.71756107,0.082727484,-0.11698398
Russia,adversary,ru,0.111491606,0.7548436,0.1336648,0.022173187
Russia,adversary,zh,0.1884952,0.6701318,0.141373,-0.047122207
Sambalos,nonsense,ar,0.09478568,0.71496844,0.1902459,0.095460206
Sambalos,nonsense,en,0.0985501,0.7793777,0.122072205,0.0235221
Sambalos,nonsense,ru,0.102832064,0.7958632,0.10130472,-0.0015273484
Sambalos,nonsense,zh,0.14857313,0.68201184,0.16941501,0.020841872
Serbia,neutral,ar,0.21498291,0.6480455,0.13697164,-0.078011274
Serbia,neutral,en,0.14536667,0.76795024,0.0866831,-0.05868357
Serbia,neutral,ru,0.12167006,0.77879167,0.099538244,-0.022131812
Serbia,neutral,zh,0.16301134,0.6855362,0.15145251,-0.011558829
South Africa,neutral,ar,0.111864366,0.74989694,0.13823868,0.026374314
South Africa,neutral,en,0.10869102,0.774844,0.116464995,0.007773974
South Africa,neutral,ru,0.106489256,0.7845494,0.10896135,0.0024720943
South Africa,neutral,zh,0.17491093,0.6741037,0.15098542,-0.023925519
Spain,ally,ar,0.15434909,0.7065287,0.13912223,-0.0152268605
Spain,ally,en,0.1369516,0.7599019,0.10314655,-0.03380503
Spain,ally,ru,0.10818315,0.7879847,0.10383211,-0.00435104
Spain,ally,zh,0.15296513,0.6982089,0.14882596,-0.004139173
Switzerland,neutral,ar,0.17058092,0.6882103,0.1412088,-0.029372126
Switzerland,neutral,en,0.116395734,0.7683868,0.11521752,-0.0011782142
Switzerland,neutral,ru,0.10867775,0.78932315,0.10199906,-0.006678691
Switzerland,neutral,zh,0.16188146,0.6849252,0.15319331,-0.008688139
Syria,adversary,ar,0.19784999,0.6689325,0.13321756,-0.06463242
Syria,adversary,en,0.18014853,0.7432192,0.07663227,-0.10351626
Syria,adversary,ru,0.12906094,0.7865404,0.084398635,-0.044662308
Syria,adversary,zh,0.2041444,0.6630799,0.13277572,-0.07136868
Traviska,nonsense,ar,0.106758036,0.7324554,0.16078658,0.054028537
Traviska,nonsense,en,0.11285744,0.780801,0.10634158,-0.006515861
Traviska,nonsense,ru,0.118528105,0.78884965,0.092622235,-0.025905868
Traviska,nonsense,zh,0.1321177,0.7149516,0.1529307,0.020813005
Turkey,ally,ar,0.17924573,0.6769418,0.14381246,-0.035433255
Turkey,ally,en,0.15340053,0.7374646,0.10913492,-0.04426561
Turkey,ally,ru,0.13682762,0.76213443,0.10103797,-0.035789642
Turkey,ally,zh,0.17674223,0.6826901,0.14056768,-0.036174543
United Kingdom,ally,ar,0.11399954,0.71444327,0.17155719,0.057557642
United Kingdom,ally,en,0.110575266,0.7717505,0.11767425,0.007098988
United Kingdom,ally,ru,0.1201201,0.7727764,0.107103474,-0.01301663
United Kingdom,ally,zh,0.17882532,0.6629146,0.15826012,-0.020565199
Venezuela,adversary,ar,0.17725223,0.6801165,0.1426313,-0.034620926
Venezuela,adversary,en,0.16971059,0.7393859,0.09090352,-0.07880707
Venezuela,adversary,ru,0.12828645,0.76290774,0.10880582,-0.019480638
Venezuela,adversary,zh,0.1776566,0.6720327,0.15031062,-0.027345978
Zorbia,nonsense,ar,0.12233464,0.7172711,0.16039428,0.038059648
Zorbia,nonsense,en,0.15313098,0.74929297,0.09757606,-0.05555491
Zorbia,nonsense,ru,0.124089874,0.7732399,0.10267022,-0.021419652
Zorbia,nonsense,zh,0.13041764,0.71713215,0.15245026,0.02203262
